data,pnl,wr,trades,candidatos,vetos_ia,vetos_bias,motivos
19/02/2026,0.0,0.0,0,353,11,0,{'LOW_CONFIDENCE': 11}
20/02/2026,0.0,0.0,0,365,18,0,{'LOW_CONFIDENCE': 18}
23/02/2026,0.0,0.0,0,346,11,0,{'LOW_CONFIDENCE': 11}
24/02/2026,0.0,0.0,0,351,9,0,{'LOW_CONFIDENCE': 9}
25/02/2026,0.0,0.0,0,354,8,0,{'LOW_CONFIDENCE': 8}
26/02/2026,0.0,0.0,0,362,19,0,{'LOW_CONFIDENCE': 19}
27/02/2026,0.0,0.0,0,354,7,0,{'LOW_CONFIDENCE': 7}
02/03/2026,0.0,0.0,0,349,11,0,{'LOW_CONFIDENCE': 11}
