time,open,high,low,close,tick_volume,spread,real_volume
2026-02-24 12:00:00,193940.0,193965.0,193845.0,193905.0,12172,5,31904
2026-02-24 12:01:00,193905.0,194010.0,193770.0,193995.0,18050,5,47450
2026-02-24 12:02:00,193995.0,194025.0,193900.0,193980.0,12407,5,33021
2026-02-24 12:03:00,193975.0,194100.0,193890.0,193995.0,18616,5,58817
2026-02-24 12:04:00,194000.0,194170.0,193960.0,194150.0,15865,5,43425
2026-02-24 12:05:00,194155.0,194305.0,194135.0,194270.0,21651,5,60565
2026-02-24 12:06:00,194270.0,194510.0,194255.0,194470.0,26633,5,78404
2026-02-24 12:07:00,194470.0,194620.0,194405.0,194470.0,20926,5,59108
2026-02-24 12:08:00,194470.0,194495.0,194350.0,194390.0,12672,5,38256
2026-02-24 12:09:00,194390.0,194485.0,194355.0,194450.0,11545,5,36479
2026-02-24 12:10:00,194450.0,194610.0,194450.0,194540.0,18790,5,54724
2026-02-24 12:11:00,194540.0,194615.0,194480.0,194585.0,12562,5,36279
2026-02-24 12:12:00,194585.0,194635.0,194425.0,194490.0,16374,5,48030
2026-02-24 12:13:00,194495.0,194610.0,194455.0,194600.0,11397,5,33890
2026-02-24 12:14:00,194600.0,194750.0,194565.0,194605.0,21688,5,64990
2026-02-24 12:15:00,194605.0,194645.0,194540.0,194595.0,10715,5,29870
2026-02-24 12:16:00,194595.0,194800.0,194590.0,194685.0,19780,5,58951
2026-02-24 12:17:00,194690.0,194740.0,194560.0,194630.0,12892,5,36832
2026-02-24 12:18:00,194630.0,194650.0,194360.0,194440.0,23719,5,72958
2026-02-24 12:19:00,194440.0,194570.0,194375.0,194530.0,12345,5,36505
2026-02-24 12:20:00,194530.0,194715.0,194510.0,194700.0,17869,5,55204
2026-02-24 12:21:00,194705.0,194785.0,194600.0,194630.0,16356,5,47277
2026-02-24 12:22:00,194625.0,194790.0,194610.0,194735.0,13479,5,40478
2026-02-24 12:23:00,194740.0,194795.0,194650.0,194770.0,9729,5,28503
2026-02-24 12:24:00,194770.0,194785.0,194575.0,194645.0,13180,5,38320
2026-02-24 12:25:00,194645.0,194780.0,194600.0,194635.0,13755,5,42092
2026-02-24 12:26:00,194635.0,194680.0,194505.0,194535.0,13130,5,38352
2026-02-24 12:27:00,194535.0,194680.0,194510.0,194630.0,12122,5,37670
2026-02-24 12:28:00,194630.0,194690.0,194545.0,194680.0,8490,5,25446
2026-02-24 12:29:00,194675.0,194735.0,194615.0,194710.0,10134,5,31226
2026-02-24 12:30:00,194705.0,194900.0,194700.0,194855.0,23376,5,67896
