data,pnl_bruto,trades_brutos,wr_bruto,oportunidades_filtradas
19/02/2026,52.271428571431905,9,44.44444444444444,11
20/02/2026,0.8571428571420299,10,20.0,18
23/02/2026,74.55714285714203,8,75.0,11
24/02/2026,81.12142857143189,9,66.66666666666666,9
25/02/2026,-100.6,9,22.22222222222222,8
26/02/2026,-33.8285714285681,8,37.5,19
27/02/2026,-43.685714285715946,8,12.5,7
02/03/2026,20.05714285714203,9,22.22222222222222,11
