data,total_pnl,win_rate,max_dd,candidates,filtered_ai
19/02/2026,0.0,0.0,0.0,353,0
20/02/2026,0.0,0.0,0.0,365,0
23/02/2026,0.0,0.0,0.0,346,0
24/02/2026,0.0,0.0,0.0,351,0
25/02/2026,0.0,0.0,0.0,354,0
26/02/2026,0.0,0.0,0.0,362,0
27/02/2026,0.0,0.0,0.0,354,0
02/03/2026,0.0,0.0,0.0,349,0
