time,open,high,low,close,tick_volume,spread,real_volume
2026-03-09 09:00:00,180580.0,180700.0,180300.0,180520.0,9641,5,77536
2026-03-09 09:01:00,180530.0,181490.0,180450.0,181405.0,59382,5,122123
2026-03-09 09:02:00,181400.0,181460.0,180920.0,180995.0,39355,5,88081
2026-03-09 09:03:00,180990.0,181010.0,180660.0,180880.0,36287,5,72200
2026-03-09 09:04:00,180890.0,181075.0,180785.0,180945.0,27791,5,56397
2026-03-09 09:05:00,180945.0,181305.0,180740.0,181305.0,34933,5,76733
2026-03-09 09:06:00,181305.0,181415.0,181055.0,181120.0,24579,5,55225
2026-03-09 09:07:00,181120.0,181225.0,180865.0,181145.0,23898,5,57101
2026-03-09 09:08:00,181140.0,181200.0,180905.0,180940.0,18075,5,39601
2026-03-09 09:09:00,180935.0,181075.0,180805.0,180830.0,14224,5,32718
2026-03-09 09:10:00,180830.0,180920.0,180775.0,180865.0,14626,5,33527
2026-03-09 09:11:00,180865.0,180945.0,180710.0,180785.0,18619,5,42503
2026-03-09 09:12:00,180785.0,180895.0,180725.0,180835.0,13599,5,30225
2026-03-09 09:13:00,180835.0,180890.0,180750.0,180880.0,9506,5,21428
2026-03-09 09:14:00,180880.0,180990.0,180825.0,180990.0,17942,5,41814
2026-03-09 09:15:00,180990.0,181145.0,180955.0,181120.0,23407,5,56022
2026-03-09 09:16:00,181110.0,181295.0,181065.0,181245.0,22225,5,52152
2026-03-09 09:17:00,181245.0,181325.0,181170.0,181220.0,16212,5,38822
2026-03-09 09:18:00,181225.0,181260.0,181030.0,181065.0,20232,5,47133
2026-03-09 09:19:00,181065.0,181165.0,180875.0,180930.0,23482,5,54543
2026-03-09 09:20:00,180925.0,181075.0,180920.0,180995.0,18306,5,40633
2026-03-09 09:21:00,181000.0,181070.0,180815.0,180945.0,24652,5,57712
2026-03-09 09:22:00,180945.0,181140.0,180940.0,181070.0,19707,5,48868
2026-03-09 09:23:00,181070.0,181140.0,180955.0,181000.0,17280,5,40435
2026-03-09 09:24:00,181000.0,181210.0,180915.0,181195.0,23330,5,58113
2026-03-09 09:25:00,181185.0,181280.0,181175.0,181215.0,16306,5,41091
2026-03-09 09:26:00,181220.0,181265.0,181065.0,181080.0,17642,5,41518
2026-03-09 09:27:00,181080.0,181145.0,180845.0,180895.0,25025,5,66241
2026-03-09 09:28:00,180900.0,181040.0,180835.0,180980.0,17522,5,45541
2026-03-09 09:29:00,180980.0,181125.0,180855.0,181080.0,20292,5,51816
2026-03-09 09:30:00,181085.0,181125.0,180925.0,180965.0,19828,5,48521
2026-03-09 09:31:00,180970.0,181145.0,180895.0,180920.0,22383,5,55479
2026-03-09 09:32:00,180925.0,180980.0,180720.0,180835.0,27652,5,72383
2026-03-09 09:33:00,180830.0,180850.0,180620.0,180675.0,19484,5,53557
2026-03-09 09:34:00,180675.0,180800.0,180655.0,180730.0,13449,5,36111
2026-03-09 09:35:00,180735.0,180755.0,180650.0,180665.0,7736,5,19532
2026-03-09 09:36:00,180665.0,180700.0,180530.0,180615.0,24027,5,62117
2026-03-09 09:37:00,180620.0,180715.0,180500.0,180555.0,16904,5,43756
2026-03-09 09:38:00,180560.0,180710.0,180540.0,180660.0,12354,5,31033
2026-03-09 09:39:00,180660.0,180710.0,180630.0,180660.0,6893,5,17355
2026-03-09 09:40:00,180660.0,180745.0,180625.0,180740.0,10856,5,26916
2026-03-09 09:41:00,180740.0,180865.0,180665.0,180855.0,17604,5,42956
2026-03-09 09:42:00,180850.0,180900.0,180805.0,180845.0,15486,5,41827
2026-03-09 09:43:00,180845.0,180880.0,180800.0,180825.0,7325,5,19001
2026-03-09 09:44:00,180830.0,180865.0,180750.0,180850.0,13996,5,34685
2026-03-09 09:45:00,180850.0,181000.0,180760.0,180980.0,29696,5,76110
2026-03-09 09:46:00,180980.0,181040.0,180885.0,181025.0,18233,5,46162
2026-03-09 09:47:00,181025.0,181030.0,180910.0,180950.0,8838,5,20938
2026-03-09 09:48:00,180950.0,180965.0,180815.0,180895.0,12714,5,31357
2026-03-09 09:49:00,180895.0,180955.0,180700.0,180730.0,17224,5,43595
2026-03-09 09:50:00,180725.0,180805.0,180705.0,180795.0,12976,5,32878
2026-03-09 09:51:00,180795.0,180895.0,180715.0,180765.0,15705,5,40923
2026-03-09 09:52:00,180765.0,180865.0,180720.0,180795.0,9450,5,23402
2026-03-09 09:53:00,180790.0,180940.0,180750.0,180820.0,17810,5,42673
2026-03-09 09:54:00,180825.0,180865.0,180730.0,180800.0,9308,5,23503
2026-03-09 09:55:00,180795.0,180850.0,180655.0,180695.0,12469,5,30660
2026-03-09 09:56:00,180695.0,180915.0,180680.0,180860.0,18668,5,46918
2026-03-09 09:57:00,180865.0,180880.0,180705.0,180765.0,11925,5,30313
2026-03-09 09:58:00,180765.0,181000.0,180715.0,180965.0,14449,5,34538
2026-03-09 09:59:00,180965.0,181025.0,180925.0,180990.0,15670,5,41286
2026-03-09 10:00:00,180990.0,181175.0,180980.0,181110.0,33206,5,80298
