time,open,high,low,close,tick_volume,spread,real_volume
2026-03-10 11:50:00,185950.0,186000.0,185900.0,185930.0,9107,0,54254
2026-03-10 11:51:00,185930.0,185960.0,185850.0,185870.0,5719,0,37830
2026-03-10 11:52:00,185870.0,185875.0,185685.0,185740.0,10341,0,65567
2026-03-10 11:53:00,185745.0,185910.0,185725.0,185880.0,6602,0,44809
2026-03-10 11:54:00,185885.0,186020.0,185860.0,185980.0,6777,0,44287
2026-03-10 11:55:00,185980.0,186025.0,185880.0,185990.0,6858,0,47531
2026-03-10 11:56:00,185985.0,186180.0,185955.0,186100.0,10708,0,82987
2026-03-10 11:57:00,186105.0,186300.0,186055.0,186280.0,7049,0,52948
2026-03-10 11:58:00,186285.0,186325.0,186220.0,186265.0,6008,0,42589
2026-03-10 11:59:00,186265.0,186325.0,186200.0,186305.0,5105,0,40580
2026-03-10 12:00:00,186305.0,186440.0,186245.0,186405.0,9175,0,62343
2026-03-10 12:01:00,186400.0,186425.0,186330.0,186365.0,5337,0,36376
2026-03-10 12:02:00,186360.0,186415.0,186305.0,186345.0,4757,0,30168
2026-03-10 12:03:00,186350.0,186510.0,186345.0,186415.0,7634,0,57970
2026-03-10 12:04:00,186420.0,186540.0,186400.0,186490.0,5269,0,39500
2026-03-10 12:05:00,186490.0,186555.0,186310.0,186360.0,9795,0,78653
2026-03-10 12:06:00,186360.0,186370.0,186195.0,186275.0,9346,0,67460
2026-03-10 12:07:00,186270.0,186385.0,186255.0,186350.0,5216,0,37431
2026-03-10 12:08:00,186350.0,186360.0,186125.0,186125.0,6445,0,42839
2026-03-10 12:09:00,186125.0,186325.0,186095.0,186285.0,7796,0,53160
2026-03-10 12:10:00,186285.0,186305.0,186160.0,186185.0,5080,0,31796
2026-03-10 12:11:00,186185.0,186210.0,186120.0,186135.0,4451,0,29052
2026-03-10 12:12:00,186140.0,186165.0,186040.0,186125.0,6449,0,39780
2026-03-10 12:13:00,186130.0,186205.0,186065.0,186080.0,5258,0,36183
2026-03-10 12:14:00,186075.0,186275.0,186075.0,186135.0,5669,0,39069
2026-03-10 12:15:00,186140.0,186180.0,186105.0,186150.0,3930,0,21387
2026-03-10 12:16:00,186145.0,186215.0,186125.0,186190.0,3521,0,19179
2026-03-10 12:17:00,186185.0,186335.0,186165.0,186305.0,7174,0,49667
2026-03-10 12:18:00,186305.0,186445.0,186295.0,186405.0,7767,0,47876
2026-03-10 12:19:00,186410.0,186490.0,186385.0,186465.0,4586,0,31224
2026-03-10 12:20:00,186465.0,186575.0,186385.0,186410.0,9396,0,67308
2026-03-10 12:21:00,186410.0,186430.0,186345.0,186420.0,4816,0,30776
2026-03-10 12:22:00,186420.0,186435.0,186335.0,186395.0,3767,0,23740
2026-03-10 12:23:00,186400.0,186420.0,186330.0,186330.0,2350,0,13557
2026-03-10 12:24:00,186335.0,186345.0,186150.0,186220.0,7296,0,49339
2026-03-10 12:25:00,186220.0,186280.0,186175.0,186240.0,3593,0,22945
2026-03-10 12:26:00,186240.0,186255.0,186130.0,186145.0,4227,0,26508
2026-03-10 12:27:00,186140.0,186170.0,186080.0,186100.0,4484,0,29282
2026-03-10 12:28:00,186095.0,186100.0,186005.0,186005.0,5622,0,36548
2026-03-10 12:29:00,186005.0,186025.0,185870.0,185900.0,7789,0,57266
2026-03-10 12:30:00,185900.0,185985.0,185890.0,185975.0,4448,0,29087
2026-03-10 12:31:00,185975.0,185980.0,185880.0,185940.0,3984,0,25538
2026-03-10 12:32:00,185940.0,185955.0,185845.0,185895.0,4425,0,29215
2026-03-10 12:33:00,185895.0,185905.0,185745.0,185805.0,5816,0,37184
2026-03-10 12:34:00,185805.0,185825.0,185735.0,185755.0,4128,0,25527
2026-03-10 12:35:00,185755.0,186000.0,185725.0,185980.0,7715,0,58373
2026-03-10 12:36:00,185980.0,186160.0,185950.0,186135.0,8219,0,54214
2026-03-10 12:37:00,186140.0,186245.0,186115.0,186165.0,6642,0,40158
2026-03-10 12:38:00,186170.0,186170.0,186040.0,186115.0,5207,0,36994
2026-03-10 12:39:00,186115.0,186125.0,186045.0,186075.0,2968,0,17416
2026-03-10 12:40:00,186080.0,186100.0,185895.0,185905.0,5883,0,40950
2026-03-10 12:41:00,185900.0,186110.0,185875.0,186100.0,5824,0,41696
2026-03-10 12:42:00,186095.0,186245.0,186070.0,186165.0,7136,0,51190
2026-03-10 12:43:00,186170.0,186250.0,186140.0,186180.0,4229,0,31861
2026-03-10 12:44:00,186180.0,186195.0,186095.0,186185.0,3924,0,27060
2026-03-10 12:45:00,186185.0,186190.0,186105.0,186155.0,2758,0,16360
2026-03-10 12:46:00,186160.0,186215.0,186065.0,186085.0,4593,0,30533
2026-03-10 12:47:00,186085.0,186115.0,185960.0,186105.0,6476,0,43365
2026-03-10 12:48:00,186105.0,186170.0,186090.0,186155.0,3678,0,23604
2026-03-10 12:49:00,186160.0,186265.0,186145.0,186225.0,4816,0,31047
2026-03-10 12:50:00,186220.0,186280.0,186210.0,186245.0,3461,0,23842
2026-03-10 12:51:00,186250.0,186290.0,186110.0,186115.0,5136,0,34263
2026-03-10 12:52:00,186120.0,186170.0,186050.0,186150.0,4976,0,33018
2026-03-10 12:53:00,186155.0,186265.0,186140.0,186215.0,4167,0,28552
2026-03-10 12:54:00,186215.0,186230.0,186165.0,186195.0,2277,0,15217
2026-03-10 12:55:00,186190.0,186450.0,186155.0,186410.0,9001,0,76841
2026-03-10 12:56:00,186410.0,186440.0,186320.0,186410.0,5479,0,35280
2026-03-10 12:57:00,186415.0,186595.0,186355.0,186520.0,7509,0,57523
2026-03-10 12:58:00,186525.0,186525.0,186440.0,186460.0,4582,0,33372
2026-03-10 12:59:00,186460.0,186560.0,186450.0,186465.0,3372,0,20369
2026-03-10 13:00:00,186465.0,186500.0,186385.0,186430.0,6145,0,41231
2026-03-10 13:01:00,186435.0,186520.0,186425.0,186455.0,3725,0,24310
2026-03-10 13:02:00,186455.0,186570.0,186440.0,186485.0,3850,0,23676
2026-03-10 13:03:00,186485.0,186500.0,186385.0,186430.0,4191,0,27084
2026-03-10 13:04:00,186430.0,186490.0,186360.0,186370.0,3479,0,24746
2026-03-10 13:05:00,186370.0,186395.0,186115.0,186125.0,8853,0,62358
2026-03-10 13:06:00,186125.0,186145.0,186035.0,186105.0,6094,0,44587
2026-03-10 13:07:00,186105.0,186240.0,186100.0,186200.0,5217,0,35550
2026-03-10 13:08:00,186200.0,186260.0,186185.0,186235.0,3471,0,21275
2026-03-10 13:09:00,186230.0,186280.0,186170.0,186235.0,3135,0,21203
2026-03-10 13:10:00,186235.0,186290.0,186175.0,186255.0,3977,0,23220
2026-03-10 13:11:00,186250.0,186295.0,186235.0,186260.0,2196,0,14126
2026-03-10 13:12:00,186265.0,186320.0,186115.0,186115.0,5144,0,36637
2026-03-10 13:13:00,186120.0,186210.0,186090.0,186205.0,3512,0,24523
2026-03-10 13:14:00,186205.0,186230.0,186175.0,186195.0,2248,0,13654
2026-03-10 13:15:00,186190.0,186235.0,186135.0,186170.0,3000,0,18981
2026-03-10 13:16:00,186175.0,186235.0,186125.0,186205.0,3207,0,19244
2026-03-10 13:17:00,186200.0,186250.0,186175.0,186230.0,1964,0,14605
2026-03-10 13:18:00,186230.0,186425.0,186225.0,186375.0,7120,0,50356
2026-03-10 13:19:00,186375.0,186395.0,186355.0,186380.0,2664,0,18132
2026-03-10 13:20:00,186380.0,186395.0,186245.0,186285.0,4893,0,34110
2026-03-10 13:21:00,186285.0,186300.0,186185.0,186195.0,3194,0,23942
2026-03-10 13:22:00,186195.0,186290.0,186175.0,186215.0,3818,0,29181
2026-03-10 13:23:00,186215.0,186260.0,186165.0,186225.0,3064,0,19888
2026-03-10 13:24:00,186220.0,186260.0,186190.0,186245.0,2008,0,13086
2026-03-10 13:25:00,186240.0,186265.0,186155.0,186190.0,3175,0,23409
2026-03-10 13:26:00,186195.0,186220.0,186170.0,186205.0,1832,0,11767
2026-03-10 13:27:00,186210.0,186230.0,186110.0,186140.0,3174,0,22353
2026-03-10 13:28:00,186135.0,186315.0,186120.0,186270.0,4623,0,34360
2026-03-10 13:29:00,186270.0,186280.0,186225.0,186255.0,2083,0,14107
2026-03-10 13:30:00,186255.0,186325.0,186205.0,186285.0,3612,0,23413
2026-03-10 13:31:00,186285.0,186420.0,186270.0,186385.0,4666,0,33649
2026-03-10 13:32:00,186380.0,186420.0,186325.0,186390.0,3502,0,22410
2026-03-10 13:33:00,186385.0,186495.0,186365.0,186400.0,4984,0,35145
2026-03-10 13:34:00,186400.0,186535.0,186400.0,186520.0,5039,0,33481
2026-03-10 13:35:00,186525.0,186565.0,186480.0,186525.0,4090,0,29306
2026-03-10 13:36:00,186520.0,186550.0,186460.0,186485.0,2982,0,17795
2026-03-10 13:37:00,186480.0,186490.0,186330.0,186355.0,5355,0,37215
2026-03-10 13:38:00,186360.0,186410.0,186315.0,186340.0,3537,0,25452
