time,open,high,low,close,tick_volume,spread,real_volume,rsi,sma_20,std_20,upper_bb,lower_bb,atr_current,ema30,ema90,vol_sma,day,vwap,vwap_std,cvd,ofi,volume_ratio,regime,dir_prob
2026-02-25 08:00:00,194965.0,195150.0,194945.0,195070.0,29415,5,84087,0.0,,,,,,195070.0,195070.0,13991.3,2026-02-25,195055.0,0.0,29415.0,0.5121951219262344,2.1023779062688224,0,0.5
2026-02-25 08:01:00,195070.0,195100.0,194910.0,195065.0,18717,5,55680,0.0,,,,,,195069.67741935485,195069.8901098901,13991.3,2026-02-25,195043.3339566193,0.0,10698.0,-0.026315789472299168,1.3377598936472395,0,0.5
2026-02-25 08:02:00,195065.0,195175.0,195040.0,195130.0,14392,5,43613,94.20289854389834,,,,,,195073.56919875133,195071.21120637603,13991.3,2026-02-25,195059.83030516282,0.0,25090.0,0.48148148144581615,1.028639225803872,0,0.5
2026-02-25 08:03:00,195125.0,195300.0,195105.0,195250.0,18268,5,53509,98.17351597893341,,,,,,195084.95183108997,195075.1406304117,13991.3,2026-02-25,195095.66966201275,0.0,43358.0,0.6410256409927679,1.305668522580957,0,0.09225650670700695
2026-02-25 08:04:00,195250.0,195320.0,195135.0,195230.0,14127,5,41287,85.91408591140377,,,,,,195094.3097774713,195078.54413304,13991.3,2026-02-25,195115.41428305538,0.0,29231.0,-0.10810810810226443,1.0096988843059547,0,0.0820132288580953
2026-02-25 08:05:00,195225.0,195290.0,195165.0,195275.0,9283,5,27459,89.57534309616078,,,,,,195105.9672111828,195082.86184440175,13991.3,2026-02-25,195126.8101539958,0.0,38514.0,0.399999999968,0.6634837363213829,0,0.1076261475139964
2026-02-25 08:06:00,195275.0,195295.0,195035.0,195060.0,17237,5,49243,35.09565988752699,,,,,,195103.0015846549,195082.35938628303,13991.3,2026-02-25,195127.26291938065,0.0,21277.0,-0.8269230768912722,1.231979873206041,0,0.035797217829463775
2026-02-25 08:07:00,195065.0,195090.0,194980.0,194985.0,11391,5,33302,27.739146843765695,,,,,,195095.38857919333,195080.21961955153,13991.3,2026-02-25,195117.9215287711,0.0,9886.0,-0.7272727272066116,0.8141487924633064,0,0.13574438884132642
2026-02-25 08:08:00,194985.0,195095.0,194925.0,195070.0,17365,5,50789,44.284096485848444,,,,,,195093.75060634216,195079.9950125284,13991.3,2026-02-25,195107.75636117492,0.0,27251.0,0.4999999999705882,1.2411284155144688,0,0.08190801408752466
2026-02-25 08:09:00,195070.0,195135.0,195000.0,195090.0,10037,5,28630,47.79937053267746,,,,,,195093.50863173945,195080.21490236296,13991.3,2026-02-25,195105.70448890777,0.0,37288.0,0.1481481481371742,0.7173743683569666,0,0.09470502050679273
2026-02-25 08:10:00,195090.0,195205.0,195065.0,195155.0,13243,5,39722,58.449397544746624,,,,,,195097.47581678853,195081.85853088245,13991.3,2026-02-25,195108.44982466253,0.0,50531.0,0.464285714252551,0.9465167639883738,0,0.04871407472724043
2026-02-25 08:11:00,195150.0,195260.0,195130.0,195230.0,11499,5,33391,67.89627556926047,,,,,,195106.0257640925,195085.11438734655,13991.3,2026-02-25,195114.5555231186,0.0,62030.0,0.6153846153372781,0.8218678750360425,0,0.85
2026-02-25 08:12:00,195230.0,195270.0,195150.0,195225.0,10626,5,31194,66.63379619096906,,,,,,195113.70152124783,195088.18879641584,13991.3,2026-02-25,195120.01218473076,0.0,51404.0,-0.04166666666319445,0.7594719575730923,0,0.07944059455456
2026-02-25 08:13:00,195230.0,195320.0,195215.0,195300.0,9530,5,27781,75.25940492736532,,,,,157.5,195125.72077794152,195092.84398770338,13991.3,2026-02-25,195127.36752303416,0.0,60934.0,0.6666666666031746,0.6811375640571776,0,0.1076050756757415
2026-02-25 08:14:00,195295.0,195380.0,195245.0,195305.0,18386,5,51824,75.7811463201356,,,,,152.5,195137.28717936465,195097.5067572044,13991.3,2026-02-25,195142.3905223787,0.0,79320.0,0.0740740740685871,1.314102335021539,0,0.07684728371096318
2026-02-25 08:15:00,195305.0,195345.0,195260.0,195340.0,8483,5,24122,79.55393838785018,,,,,145.0,195150.36542585728,195102.83627902408,13991.3,2026-02-25,195148.70195561188,0.0,87803.0,0.41176470583391006,0.606305346893708,0,0.05633698111444675
2026-02-25 08:16:00,195345.0,195365.0,195225.0,195335.0,12222,5,36618,77.40082524864945,,,,,145.35714285714286,195162.27733386648,195107.9387783862,13991.3,2026-02-25,195156.6906818005,0.0,75581.0,-0.07142857142346938,0.8735428444813037,0,0.05633842331265554
2026-02-25 08:17:00,195335.0,195335.0,195190.0,195230.0,11577,5,34922,45.251690787388114,,,,,141.78571428571428,195166.64653813315,195110.62144259748,13991.3,2026-02-25,195160.98913986818,0.0,64004.0,-0.7241379309845422,0.8274427680052407,0,0.03583259515920129
2026-02-25 08:18:00,195230.0,195420.0,195195.0,195360.0,16946,5,47966,66.67414011381581,,,,,144.64285714285714,195179.1209550278,195116.1022900129,13991.3,2026-02-25,195171.1793843311,0.0,80950.0,0.5777777777520987,1.211181234051724,0,0.028195367815083056
2026-02-25 08:19:00,195365.0,195415.0,195305.0,195345.0,7082,5,21430,63.112331679373725,195202.5,115.5478939205306,195433.59578784107,194971.40421215893,143.57142857142858,195189.822828897,195121.13300891372,13991.3,2026-02-25,195175.83162393773,110.57435777108742,73868.0,-0.1818181818016529,0.5061716924084922,0,0.0025965469825252473
2026-02-25 08:20:00,195350.0,195460.0,195345.0,195410.0,16491,5,46449,71.39081430731456,195219.5,119.95503543541285,195459.41007087083,194979.58992912917,133.21428571428572,195204.02780767786,195127.48173399252,13345.1,2026-02-25,195188.5855857072,115.30442163732855,90359.0,0.521739130389414,1.235734464334298,0,0.038430649714604456
